state,year,death_rate_per_100k
North Carolina,2021.0,46.6682265398689
North Carolina,2022.0,47.58768544829108
North Carolina,2023.0,39.271296357794384
North Dakota,2018.0,11.569228057030784
North Dakota,2019.0,18.25268750882409
North Dakota,2020.0,16.380836003715746
North Dakota,2021.0,17.94447550505284
North Dakota,2022.0,18.333795613920564
North Dakota,2023.0,33.39774409457163
Ohio,2018.0,34.78494771694922
Ohio,2019.0,34.84019102783417
Ohio,2020.0,44.14380181648032
Ohio,2021.0,46.94898658471645
Ohio,2022.0,45.17993716595967
Ohio,2023.0,39.81515249684288
Oklahoma,2018.0,22.051738921009274
Oklahoma,2019.0,18.472863724674617
Oklahoma,2020.0,22.27532716403575
Oklahoma,2021.0,30.13957255492346
Oklahoma,2022.0,31.736266763142183
Oklahoma,2023.0,32.53350235287621
Oregon,2018.0,15.4790951930183
Oregon,2019.0,16.851741908097235
Oregon,2020.0,18.66343905743874
Oregon,2021.0,30.847234739269254
Oregon,2022.0,32.60145848423995
Oregon,2023.0,38.543832520911316
Pennsylvania,2018.0,31.728416651115463
Pennsylvania,2019.0,32.09631646787528
Pennsylvania,2020.0,37.23136801676589
Pennsylvania,2021.0,40.986126817862036
Pennsylvania,2022.0,37.00122766263412
Pennsylvania,2023.0,34.855673624288904
Rhode Island,2018.0,27.19018482829004
Rhode Island,2019.0,24.513308366281105
Rhode Island,2020.0,34.70152719375181
Rhode Island,2021.0,33.031241350392904
Rhode Island,2022.0,33.006992590692654
Rhode Island,2023.0,30.790122315238214
South Carolina,2018.0,23.86367282397311
South Carolina,2019.0,22.74744707018214
South Carolina,2020.0,36.00136912716833
South Carolina,2021.0,42.48160434948538
South Carolina,2022.0,47.553848720834445
South Carolina,2023.0,45.1459486117654
South Dakota,2018.0,11.40629212551069
South Dakota,2019.0,13.299082212186143
South Dakota,2020.0,12.194759469041513
South Dakota,2021.0,14.380635655747
South Dakota,2022.0,15.301752414796795
South Dakota,2023.0,15.048129686499626
Tennessee,2018.0,29.63462837011569
Tennessee,2019.0,31.6442023396041
Tennessee,2020.0,45.64531659371391
Tennessee,2021.0,56.609083850291945
Tennessee,2022.0,55.86740008663283
Tennessee,2023.0,53.53467864041175
Texas,2018.0,10.992610183563805
Texas,2019.0,11.732146546879129
Texas,2020.0,14.988785736665502
Texas,2021.0,18.101240371449915
Texas,2022.0,18.774100073854886
Texas,2023.0,19.090230765513656
Utah,2018.0,19.115353616532147
Utah,2019.0,18.623055576385084
Utah,2020.0,20.06626872883509
Utah,2021.0,20.945389689289804
Utah,2022.0,18.284733808443978
Utah,2023.0,20.776551124302717
Vermont,2018.0,33.6862765985215
Vermont,2019.0,29.875246131212812
Vermont,2020.0,38.904546703616724
Vermont,2021.0,42.956285240963496
Vermont,2022.0,45.467262116232725
Vermont,2023.0,44.09860783630252
Virginia,2018.0,26.1082267441271
Virginia,2019.0,26.1739479710812
Virginia,2020.0,37.13742215990412
Virginia,2021.0,44.41535444729954
Virginia,2022.0,42.36545445575082
Virginia,2023.0,39.13240750178835
Washington,2018.0,15.941876704905553
Washington,2019.0,16.25673641285425
Washington,2020.0,23.74020184005699
Washington,2021.0,30.913686881879084
Washington,2022.0,35.45692580128227
Washington,2023.0,42.59369388633405
West Virginia,2018.0,55.068215220975496
West Virginia,2019.0,56.16871705684441
West Virginia,2020.0,85.72941157080518
West Virginia,2021.0,92.92341356513663
West Virginia,2022.0,87.8026477034715
West Virginia,2023.0,88.47270828939963
Wisconsin,2018.0,19.51698588313928
Wisconsin,2019.0,20.128024867808772
Wisconsin,2020.0,27.21373899467551
Wisconsin,2021.0,27.202607204764462
Wisconsin,2022.0,36.42282438973769
Wisconsin,2023.0,35.28212292970637
Wyoming,2018.0,16.43177652783922
Wyoming,2019.0,20.125640894108113
Wyoming,2020.0,23.949595107173167
Wyoming,2021.0,33.8601640227054
Wyoming,2022.0,27.492677932327314
Wyoming,2023.0,38.55061493124976
